公司代號,公司名稱,日期,季底月均價,日期_西元,year_quarter
8481,政伸Transart,107/10/02,48.41,2018-10-02,2018Q4
8482,商億-KYSGH-KY,107/12/28,115.69,2018-12-28,2018Q4
8488,吉源-KYJYPKG,107/01/02,17.05,2018-01-02,2018Q1
8497,聯廣UV,107/03/23,48.02,2018-03-23,2018Q1
8499,鼎炫-KYTOP BRIGHT,107/01/08,87.75,2018-01-08,2018Q1
9802,鈺齊-KYFulgent Sun,107/01/22,48.22,2018-01-22,2018Q1
9902,台火開發Tidehold,107/01/10,9.18,2018-01-10,2018Q1
9904,寶成工業Pou Chen,107/01/25,32.34,2018-01-25,2018Q1
9905,大華金屬GCM,107/04/20,24.36,2018-04-20,2018Q2
9907,統一實業Ton Yi,107/10/03,12.34,2018-10-03,2018Q4
9910,豐泰企業FT,107/09/25,182.51,2018-09-25,2018Q3
9911,台灣櫻花Taiwan Sakura,107/01/31,35.8,2018-01-31,2018Q1
9914,美利達MIC,107/07/02,135.71,2018-07-02,2018Q3
9917,中保Taiwan Secom,107/01/05,86.39,2018-01-05,2018Q1
9919,康那香KNH,107/01/05,10.4,2018-01-05,2018Q1
9921,巨大機械Giant Mfg.,107/01/18,145.28,2018-01-18,2018Q1
9924,臺灣福興Taiwan Fu Hsing,107/01/17,34.63,2018-01-17,2018Q1
9925,新保SKS,107/01/08,36.53,2018-01-08,2018Q1
9927,泰銘TMI,107/03/31,30.78,2018-03-31,2018Q1
9929,秋雨創新CHOICE,107/11/20,13.93,2018-11-20,2018Q4
9930,中聯資源CHC,107/04/12,50.72,2018-04-12,2018Q2
9933,中鼎CTCI Corp.,107/04/19,43.58,2018-04-19,2018Q2
9934,成霖Globo,107/05/03,16.0,2018-05-03,2018Q2
9935,慶豐富Ching Feng,107/03/02,17.82,2018-03-02,2018Q1
9938,百和Taiwan Paiho,107/01/11,50.75,2018-01-11,2018Q1
9939,宏全Hon Chuan,107/01/09,47.32,2018-01-09,2018Q1
9940,信義Sinyi Realty,107/03/20,29.64,2018-03-20,2018Q1
9941,裕融            (普 通)TAC common,107/04/27,91.02,2018-04-27,2018Q2
9941A,裕融            (特 別)TAC preferred,107/11/27,50.92,2018-11-27,2018Q4
9942,茂順MAO SHUN,107/02/23,67.88,2018-02-23,2018Q1
9944,新麗Shinih,107/02/27,16.37,2018-02-27,2018Q1
