代號,名稱,成交,漲跌 價,漲跌 幅,平均 EPS (元),22Q1 EPS (元),22Q2 EPS (元),22Q3 EPS (元),22Q4 EPS (元),23Q1 EPS (元),23Q2 EPS (元),23Q3 EPS (元),23Q4 EPS (元),24Q1 EPS (元),24Q2 EPS (元),24Q3 EPS (元),24Q4 EPS (元),季度,16Q2 EPS (元),16Q3 EPS (元),16Q4 EPS (元),17Q1 EPS (元),17Q2 EPS (元),17Q3 EPS (元),17Q4 EPS (元),18Q1 EPS (元),18Q2 EPS (元),18Q3 EPS (元),18Q4 EPS (元),19Q1 EPS (元)
1583,程泰,57.7,+5.2,+9.9,2.02,1.09,2.01,2.2,1.11,1.25,0.94,2.44,1.84,0.36,1.52,1.53,7.96,2019Q1,,,,,,,,,,,,
1590,亞德客-KY,817,+7,+0.86,8.59,8.39,8.01,6.96,6.71,8.11,8.52,9.7,8.5,9.15,11.31,8.66,9.01,2019Q1,,,,,,,,,,,,
1597,直得,68.6,-2.4,-3.38,0.52,0.9,1.12,1.01,1.06,0.43,0.5,0.29,-0.1,0.41,0.22,0.15,0.29,2019Q1,,,,,,,,,,,,
1598,岱宇,25.4,+0.8,+3.25,-0.1,-0.35,-0.5,0.61,-0.38,-0.9,-0.29,0.17,0.01,0.22,-0.7,-0.84,1.74,2019Q1,,,,,,,,,,,,
1603,華電,32.15,+0.15,+0.47,0.66,0.28,0.36,1.07,0.36,0.41,0.7,1.08,0.79,0.67,0.51,1.02,0.64,2019Q1,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 EPS (元),22Q1 EPS (元),22Q2 EPS (元),22Q3 EPS (元),22Q4 EPS (元),23Q1 EPS (元),23Q2 EPS (元),23Q3 EPS (元),23Q4 EPS (元),24Q1 EPS (元),24Q2 EPS (元),24Q3 EPS (元),24Q4 EPS (元),2019Q1,,,,,,,,,,,,
1604,聲寶,25.2,-0.3,-1.18,0.49,0.5,0.53,0.6,0.19,0.5,0.64,0.56,0.31,0.61,0.66,0.47,0.35,2019Q1,,,,,,,,,,,,
1605,華新,19.8,-0.85,-4.12,0.63,1.12,1.59,2.63,0.17,0.56,0.27,0.49,-0.01,0.22,0.55,0.09,-0.14,2019Q1,,,,,,,,,,,,
1608,華榮,24.05,-0.35,-1.43,0.31,-0.21,-0.32,0.03,0.43,0.84,0.53,0.17,0.69,0.69,0.5,0.2,0.15,2019Q1,,,,,,,,,,,,
1609,大亞,34.8,-0.7,-1.97,0.62,0.34,-0.11,0.42,0.58,2.62,0.69,0.27,0.42,0.34,1.24,0.33,0.25,2019Q1,,,,,,,,,,,,
1611,中電,13,-0.35,-2.62,0.1,0.07,0.07,0.05,0.05,0.12,0.12,0.13,0.09,0.18,0.15,0.1,0.07,2019Q1,,,,,,,,,,,,
1612,宏泰,30.55,-0.55,-1.77,0.46,0.36,0.09,0.25,0.42,0.5,0.55,0.38,0.56,0.58,0.9,0.44,0.46,2019Q1,,,,,,,,,,,,
1614,三洋電,37.65,-0.55,-1.44,0.27,0.21,0.34,0.35,0.23,0.19,0.42,0.39,0.24,0.07,0.08,0.32,0.37,2019Q1,,,,,,,,,,,,
1615,大山,52.3,-0.9,-1.69,0.87,0.78,0.62,0.43,1.13,0.61,0.58,1.06,1.02,0.99,1.12,1.14,0.97,2019Q1,,,,,,,,,,,,
1616,億泰,23.15,-0.25,-1.07,0.28,0.04,-0.02,-0.28,0.36,0.09,0.33,0.19,0.59,0.14,-0.06,0.42,1.54,2019Q1,,,,,,,,,,,,
1617,榮星,15.95,-0.55,-3.33,0.08,0.2,0.21,0.05,-0.12,0.18,0.15,0.12,-0.34,0.15,0.28,-0.11,0.25,2019Q1,,,,,,,,,,,,
1618,合機,37,-0.95,-2.5,0.58,0.34,0.27,0.2,0.47,0.28,0.39,0.47,0.86,0.62,0.91,1.18,1,2019Q1,,,,,,,,,,,,
1702,南僑,45.2,-0.45,-0.99,0.88,0.75,0.65,0.4,0.45,0.54,0.97,1.12,1.56,1.45,1.08,0.57,0.96,2019Q1,,,,,,,,,,,,
1707,葡萄王,133.5,0,0,2.45,1.59,2.6,2.46,3.18,1.89,2.28,2.48,3.16,1.74,2.21,2.81,3.02,2019Q1,,,,,,,,,,,,
1708,東鹼,32.35,-0.7,-2.12,0.72,1.51,1.43,1.72,0.18,-0.55,-0.37,0.42,0.37,0.81,1.16,1.17,0.77,2019Q1,,,,,,,,,,,,
1709,和益,17.2,-0.5,-2.82,0.39,0.68,0.75,0.54,0.3,0.2,0.26,0.33,0.09,0.39,0.58,0.41,0.16,2019Q1,,,,,,,,,,,,
