代號,名稱,成交,漲跌 價,漲跌 幅,平均 毛利 (億),22Q1 毛利 (億),22Q2 毛利 (億),22Q3 毛利 (億),22Q4 毛利 (億),23Q1 毛利 (億),23Q2 毛利 (億),23Q3 毛利 (億),23Q4 毛利 (億),24Q1 毛利 (億),24Q2 毛利 (億),24Q3 毛利 (億),24Q4 毛利 (億),17Q1 毛利 (億),17Q2 毛利 (億),17Q3 毛利 (億),17Q4 毛利 (億),18Q1 毛利 (億),18Q2 毛利 (億),18Q3 毛利 (億),18Q4 毛利 (億),19Q1 毛利 (億),19Q2 毛利 (億),19Q3 毛利 (億),19Q4 毛利 (億),季度,14Q1 毛利 (億),14Q2 毛利 (億),14Q3 毛利 (億),14Q4 毛利 (億),15Q1 毛利 (億),15Q2 毛利 (億),15Q3 毛利 (億),15Q4 毛利 (億),16Q1 毛利 (億),16Q2 毛利 (億),16Q3 毛利 (億),16Q4 毛利 (億)
3058,立德,10.25,-0.15,-1.44,1.25,0.72,1.09,1.58,1.62,1.22,1.34,1.46,1.46,1.13,1.49,0.96,0.9,,,,,,,,,,,,,,,,,,,,,,,,,
3092,鴻碩,19.25,-0.5,-2.53,0.94,1.41,1.83,1.67,0.88,0.5,0.93,1,0.71,0.5,0.44,0.72,0.66,,,,,,,,,,,,,,,,,,,,,,,,,
3149,正達,29.8,-0.35,-1.16,-0.03,-0.16,-0.52,-0.49,-0.05,0.05,0.21,0.13,0.23,0.2,0.4,0.23,-0.59,,,,,,,,,,,,,,,,,,,,,,,,,
3321,同泰,7.08,+0.36,+5.36,0.03,0.45,0.64,-0.48,-0.58,-0.31,0.15,0.14,-0.1,0.14,0.26,-0.1,0.14,,,,,,,,,,,,,,,,,,,,,,,,,
3419,譁裕,14.55,+0.15,+1.04,0.71,0.45,0.82,1.22,1.31,0.63,0.56,0.48,0.54,0.52,0.79,0.66,0.58,,,,,,,,,,,,,,,,,,,,,,,,,
3432,台端,13.8,+0.65,+4.94,0.01,0.01,0.01,0.02,0,0.02,0.02,0.01,0.01,0.02,0.01,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
3437,榮創,15.15,-0.15,-0.98,0.88,1.71,0.68,-0.02,0.69,0.53,1.09,1.36,0.85,0.85,1.06,1.09,0.63,,,,,,,,,,,,,,,,,,,,,,,,,
3494,誠研,14.55,0,0,0.14,-0.13,-0.03,0.5,-0.46,0.35,0.11,0.16,-0.22,0.13,0.49,0.45,0.35,,,,,,,,,,,,,,,,,,,,,,,,,
3504,揚明光,44.35,+0.35,+0.8,1.19,2.2,2.53,2.34,1.03,0.67,0.89,0.7,0.9,0.31,0.56,1.06,1.08,,,,,,,,,,,,,,,,,,,,,,,,,
3518,柏騰,17.75,0,0,0.23,0.58,0.36,0.12,0.08,0.28,0.29,0.27,0.24,0.19,0.18,0.12,0.07,,,,,,,,,,,,,,,,,,,,,,,,,
3530,晶相光,55.4,-0.7,-1.25,0.48,2.1,1.82,0.72,0.31,-1.28,0.22,0.62,0.01,0.21,0.43,2,-1.39,,,,,,,,,,,,,,,,,,,,,,,,,
3543,州巧,17.4,+0.3,+1.75,1.16,0.64,0.73,1.09,1.24,1.17,1.5,1.75,1.31,1.12,1.14,0.96,1.22,,,,,,,,,,,,,,,,,,,,,,,,,
