公司代號,年度,月份,加權(A/B)平均價,year_quarter
1218,110,12,27.14,2021Q4
1218,111,3,27.67,2022Q1
1218,111,6,29.56,2022Q2
1218,111,9,34.6,2022Q3
1218,111,12,38.87,2022Q4
1218,112,3,29.38,2023Q1
1218,112,6,29.57,2023Q2
1218,112,9,23.37,2023Q3
1218,112,12,22.06,2023Q4
1218,113,3,22.0,2024Q1
1218,113,6,22.56,2024Q2
1218,113,9,20.29,2024Q3
1218,113,12,20.36,2024Q4
1218,114,3,20.96,2025Q1
1218,114,6,,2025Q2
1218,114,9,,2025Q3
1218,114,12,,2025Q4
1219,105,3,15.11,2016Q1
1219,105,6,15.31,2016Q2
1219,105,9,15.26,2016Q3
1219,105,12,15.49,2016Q4
1219,106,3,17.07,2017Q1
1219,106,6,16.83,2017Q2
1219,106,9,17.71,2017Q3
1219,106,12,17.82,2017Q4
1219,107,3,18.3,2018Q1
1219,107,6,18.57,2018Q2
1219,107,9,19.83,2018Q3
1219,107,12,18.22,2018Q4
1219,108,3,18.4,2019Q1
1219,108,6,18.02,2019Q2
1219,108,9,18.71,2019Q3
1219,108,12,18.03,2019Q4
1219,109,3,17.84,2020Q1
1219,109,6,22.56,2020Q2
1219,109,9,19.4,2020Q3
1219,109,12,21.31,2020Q4
1219,110,3,20.81,2021Q1
1219,110,6,24.17,2021Q2
1219,110,9,20.15,2021Q3
1219,110,12,19.98,2021Q4
1219,111,3,20.51,2022Q1
1219,111,6,21.52,2022Q2
1219,111,9,20.52,2022Q3
1219,111,12,19.06,2022Q4
1219,112,3,21.95,2023Q1
1219,112,6,21.15,2023Q2
1219,112,9,20.15,2023Q3
1219,112,12,19.38,2023Q4
1219,113,3,18.59,2024Q1
1219,113,6,18.93,2024Q2
1219,113,9,17.11,2024Q3
1219,113,12,16.06,2024Q4
1219,114,3,14.89,2025Q1
1219,114,6,,2025Q2
1219,114,9,,2025Q3
1219,114,12,,2025Q4
1220,105,3,10.59,2016Q1
1220,105,6,11.71,2016Q2
1220,105,9,10.96,2016Q3
1220,105,12,10.84,2016Q4
1220,106,3,11.17,2017Q1
1220,106,6,10.79,2017Q2
1220,106,9,10.57,2017Q3
1220,106,12,10.33,2017Q4
1220,107,3,10.93,2018Q1
1220,107,6,12.19,2018Q2
1220,107,9,11.86,2018Q3
1220,107,12,11.12,2018Q4
1220,108,3,11.05,2019Q1
1220,108,6,11.18,2019Q2
1220,108,9,9.99,2019Q3
1220,108,12,10.55,2019Q4
1220,109,3,9.84,2020Q1
1220,109,6,10.99,2020Q2
1220,109,9,11.48,2020Q3
1220,109,12,12.51,2020Q4
1220,110,3,13.42,2021Q1
1220,110,6,17.1,2021Q2
1220,110,9,15.21,2021Q3
1220,110,12,15.41,2021Q4
1220,111,3,17.21,2022Q1
1220,111,6,16.95,2022Q2
1220,111,9,15.14,2022Q3
1220,111,12,15.19,2022Q4
1220,112,3,17.61,2023Q1
1220,112,6,15.02,2023Q2
1220,112,9,14.11,2023Q3
1220,112,12,14.41,2023Q4
1220,113,3,14.8,2024Q1
1220,113,6,15.54,2024Q2
1220,113,9,16.47,2024Q3
1220,113,12,18.52,2024Q4
1220,114,3,15.89,2025Q1
1220,114,6,,2025Q2
1220,114,9,,2025Q3
1220,114,12,,2025Q4
1225,105,3,29.67,2016Q1
1225,105,6,39.06,2016Q2
1225,105,9,51.52,2016Q3
1225,105,12,46.45,2016Q4
1225,106,3,50.4,2017Q1
1225,106,6,51.94,2017Q2
1225,106,9,60.39,2017Q3
1225,106,12,64.66,2017Q4
1225,107,3,70.53,2018Q1
1225,107,6,80.31,2018Q2
1225,107,9,83.22,2018Q3
1225,107,12,75.53,2018Q4
1225,108,3,66.31,2019Q1
1225,108,6,72.66,2019Q2
1225,108,9,45.91,2019Q3
1225,108,12,34.86,2019Q4
1225,109,3,30.45,2020Q1
1225,109,6,37.72,2020Q2
1225,109,9,32.72,2020Q3
1225,109,12,36.22,2020Q4
1225,110,3,46.78,2021Q1
1225,110,6,46.18,2021Q2
1225,110,9,44.01,2021Q3
1225,110,12,51.42,2021Q4
1225,111,3,59.42,2022Q1
1225,111,6,49.32,2022Q2
1225,111,9,51.82,2022Q3
1225,111,12,56.89,2022Q4
1225,112,3,59.59,2023Q1
1225,112,6,60.08,2023Q2
1225,112,9,53.33,2023Q3
1225,112,12,54.22,2023Q4
1225,113,3,55.81,2024Q1
1225,113,6,94.96,2024Q2
1225,113,9,165.53,2024Q3
1225,113,12,49.24,2024Q4
1225,114,3,39.59,2025Q1
1225,114,6,,2025Q2
1225,114,9,,2025Q3
1225,114,12,,2025Q4
1227,105,3,80.63,2016Q1
1227,105,6,79.12,2016Q2
1227,105,9,79.25,2016Q3
1227,105,12,76.38,2016Q4
1227,106,3,75.84,2017Q1
1227,106,6,80.4,2017Q2
1227,106,9,74.96,2017Q3
1227,106,12,72.96,2017Q4
1227,107,3,67.67,2018Q1
1227,107,6,62.32,2018Q2
1227,107,9,51.6,2018Q3
1227,107,12,49.33,2018Q4
1227,108,3,52.13,2019Q1
1227,108,6,59.95,2019Q2
1227,108,9,63.72,2019Q3
1227,108,12,69.8,2019Q4
1227,109,3,58.57,2020Q1
1227,109,6,64.47,2020Q2
1227,109,9,62.53,2020Q3
1227,109,12,60.79,2020Q4
1227,110,3,57.26,2021Q1
1227,110,6,53.86,2021Q2
1227,110,9,51.56,2021Q3
1227,110,12,52.8,2021Q4
1227,111,3,49.14,2022Q1
1227,111,6,46.16,2022Q2
1227,111,9,39.39,2022Q3
1227,111,12,39.72,2022Q4
1227,112,3,41.09,2023Q1
1227,112,6,40.58,2023Q2
1227,112,9,37.88,2023Q3
1227,112,12,39.05,2023Q4
1227,113,3,37.56,2024Q1
1227,113,6,42.37,2024Q2
1227,113,9,38.57,2024Q3
1227,113,12,37.27,2024Q4
1227,114,3,35.82,2025Q1
1227,114,6,,2025Q2
1227,114,9,,2025Q3
1227,114,12,,2025Q4
1229,105,3,19.95,2016Q1
1229,105,6,20.81,2016Q2
1229,105,9,20.94,2016Q3
1229,105,12,22.2,2016Q4
1229,106,3,24.46,2017Q1
1229,106,6,27.49,2017Q2
1229,106,9,28.26,2017Q3
1229,106,12,34.32,2017Q4
1229,107,3,37.42,2018Q1
1229,107,6,38.12,2018Q2
1229,107,9,35.15,2018Q3
1229,107,12,30.19,2018Q4
1229,108,3,32.46,2019Q1
1229,108,6,36.96,2019Q2
1229,108,9,34.12,2019Q3
1229,108,12,36.19,2019Q4
1229,109,3,33.86,2020Q1
1229,109,6,42.44,2020Q2
1229,109,9,40.81,2020Q3
1229,109,12,41.66,2020Q4
1229,110,3,44.68,2021Q1
1229,110,6,49.16,2021Q2
1229,110,9,57.66,2021Q3
1229,110,12,59.21,2021Q4
1229,111,3,66.17,2022Q1
1229,111,6,56.22,2022Q2
1229,111,9,53.76,2022Q3
1229,111,12,49.82,2022Q4
1229,112,3,55.11,2023Q1
1229,112,6,65.38,2023Q2
1229,112,9,61.62,2023Q3
1229,112,12,67.19,2023Q4
1229,113,3,67.59,2024Q1
1229,113,6,67.22,2024Q2
1229,113,9,60.75,2024Q3
1229,113,12,53.6,2024Q4
